Kevin De Bruyne
Raheem Sterling
Anthony Martial
Christian Benteke
Nicolas Otamendi
Memphis Depay
Roberto Firmino
Morgan Schneiderlin
Son Heung-min
Pedro (footballer,_born_July_1987)
Georginio Wijnaldum
Bastian Schweinsteiger
Aleksandar Mitrovic (footballer)
Matteo Darmian
Nathaniel Clyne
Florian Thauvin
Xherdan Shaqiri
José Salomón Rondón
Patrick Roberts
Virgil van Dijk
Toby Alderweireld
Fabio Borini
Angelo Ogbonna
Yohan Cabaye
Petr Cech
Ramiro Funes Mori
Clinton N'Jie
James Chester
Fabian Delph
Jeremain Lens
Jordy Clasie
Asmir Begovic
Adama Traoré (footballer,_born_1996)
Connor Wickham
Robbie Brady
Shinji Okazaki
Kenedy (footballer)
Etienne Capoue
Joselu
N'Golo Kante
Michael Hector
Glenn Murray
Oriol Romeu
Juanmi
Cédric Soares
Steven Berghuis
Nathan (footballer,_born_1996)
Gerard Deulofeu
Kevin Wimmer
Lee Tomlin
Joe Gomez (footballer)
Kieran Trippier
Nikica Jelavic
Rickie Lambert
Younes Kaboul
Robert Huth
Philipp Wollscheid
Papy Djilobodji
Scott Sinclair
Joleon Lescott
Adam Matthews
Jose Holebas
Juanfran (footballer,_born_1988)
James McClean
Danilo Pantic
Leandro Rodriguez
David Henen
Wilfried Bony
Juan Cuadrado
Gabriel Paulista
Dele Alli
Kyle Naughton
Callum McManaman
Carles Gil
Krystian Bielik
Matt Grimes
Angel Di Maria
Alexis Sanchez
Eliaquim Mangala
Diego Costa
Luke Shaw
Cesc Fabregas
Ander Herrera
Romelu Lukaku
Adam Lallana
Dejan Lovren
Lazar Markovic
Danny Welbeck
Mario Balotelli
Marcos Rojo
Filipe Luis
Daley Blind
Alberto Moreno (footballer)
Shane Long
Enner Valencia
Fernando (Brazilian_footballer,_born_1987)
Calum Chambers
Dusan Tadic
Loic Remy
Sadio Mane
Abel Hernandez
Fraser Forster
Jack Rodwell
Divock Origi
Brown Ideye
Emre Can
Leroy Fer
Leonardo Ulloa
Jake Livermore
James McArthur
Sandro Raniere
Florin Gardos
Jordon Mutch
Willy Caballero
Eric Dier
Ricky Lambert
George Boyd (footballer)
David Ospina
Andrew Robertson (footballer)
Harry Maguire
Gareth Barry
Lukas Jutkiewicz
Fraizer Campbell
Juan Mata
Nemanja Matic
Kurt Zouma
Konstantinos Mitroglou
Mohamed Salah
Wayne Hennessey
Liam Bridcutt
Jason Puncheon
Jay Fulton
Adam King (footballer)
Mesut Ozil
Willian (footballer)
Fernandinho (footballer)
Marouane Fellaini
Roberto Soldado
Erik Lamela
Stevan Jovetic
Alvaro Negredo
Mamadou Sakho
Andre Schurrle
Dani Osvaldo
Andy Carroll
Jesus Navas
James McCarthy (footballer)
Wilfried Bony
Christian Eriksen
Gary Medel
Etienne Capoue
Simon Mignolet
Vlad Chiriches
Dejan Lovren
Ricky van Wolfswinkel
Steven Caulker
Marco van Ginkel
Andreas Cornelius
Libor Kozak
Tiago Ilori
Nacer Chadli
Iago Aspas
Luis Alberto (footballer,_born_1992)
Emanuele Giaccherini
Victor Anichebe
Arouna Kone
Tom Huddlestone
Stewart Downing
Gary Hooper
Jonjo Shelvey
Martin Demichelis
Christian Atsu
Nathan Redmond
Cristian Cuevas
Erik Pieters
Jordi Amat
Peter Odemwingie
Curtis Davies
Kevin Theophile-Catherine
Ahmed Elmohamady
Nicklas Helenius
John Brayford
Allan McGregor
Christopher Samba
Daniel Sturridge
Wilfried Zaha
Philippe Coutinho
Loic Remy
Danny Graham (footballer)
Jack Butland
John Stones
Zeki Fryers
Brek Shea
Yacouba Sylla
Lewis Holtby
Daniel Carrico
Eden Hazard
Robin van Persie
Santi Cazorla
